pass;=SUM(B8:B330);=SUM(C8:C330);=SUM(D8:D330);=SUM(E8:E330);=SUM(F8:F330);=SUM(G8:G330);=SUM(H8:H330);=SUM(I8:I330);=SUM(J8:J330);=SUM(K8:K330);=SUM(L8:L330);=SUM(M8:M330);=SUM(N8:N330);=SUM(O8:O330);=SUM(P8:P330);=SUM(Q8:Q330);=SUM(R8:R330);=SUM(S8:S330);=SUM(T8:T330);=SUM(U8:U330);=SUM(V8:V330);=SUM(W8:W330);=SUM(X8:X330);=SUM(Y8:Y330);=SUM(Z8:Z330);=SUM(AA8:AA330);=SUM(AB8:AB330);=SUM(AC8:AC330);
total run;=COUNTA(B8:B330);=COUNTA(C8:C330);=COUNTA(D8:D330);=COUNTA(E8:E330);=COUNTA(F8:F330);=COUNTA(G8:G330);=COUNTA(H8:H330);=COUNTA(I8:I330);=COUNTA(J8:J330);=COUNTA(K8:K330);=COUNTA(L8:L330);=COUNTA(M8:M330);=COUNTA(N8:N330);=COUNTA(O8:O330);=COUNTA(P8:P330);=COUNTA(Q8:Q330);=COUNTA(R8:R330);=COUNTA(S8:S330);=COUNTA(T8:T330);=COUNTA(U8:U330);=COUNTA(V8:V330);=COUNTA(W8:W330);=COUNTA(X8:X330);=COUNTA(Y8:Y330);=COUNTA(Z8:Z330);=COUNTA(AA8:AA330);=COUNTA(AB8:AB330);=COUNTA(AC8:AC330);
pass rate;=IF(B5=0, "N/A",B5/B6);=IF(C5=0, "N/A",C5/C6);=IF(D5=0, "N/A",D5/D6);=IF(E5=0, "N/A",E5/E6);=IF(F5=0, "N/A",F5/F6);=IF(G5=0, "N/A",G5/G6);=IF(H5=0, "N/A",H5/H6);=IF(I5=0, "N/A",I5/I6);=IF(J5=0, "N/A",J5/J6);=IF(K5=0, "N/A",K5/K6);=IF(L5=0, "N/A",L5/L6);=IF(M5=0, "N/A",M5/M6);=IF(N5=0, "N/A",N5/N6);=IF(O5=0, "N/A",O5/O6);=IF(P5=0, "N/A",P5/P6);=IF(Q5=0, "N/A",Q5/Q6);=IF(R5=0, "N/A",R5/R6);=IF(S5=0, "N/A",S5/S6);=IF(T5=0, "N/A",T5/T6);=IF(U5=0, "N/A",U5/U6);=IF(V5=0, "N/A",V5/V6);=IF(W5=0, "N/A",W5/W6);=IF(X5=0, "N/A",X5/X6);=IF(Y5=0, "N/A",Y5/Y6);=IF(Z5=0, "N/A",Z5/Z6);=IF(AA5=0, "N/A",AA5/AA6);=IF(AB5=0, "N/A",AB5/AB6);=IF(AC5=0, "N/A",AC5/AC6);
;;
puff (wyvern);;;1;;1;;1;;;;;x;;1;;;;;;;;;;;;;;;
rammus (shyvana);;;1;;;;;;;;;1;;;;;;1;;x;;;;;;;;;
rammus-arc-r (shyvana);;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;;
sarien;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;
scarlet (dru);;;;1;;x;;x;;;1;;;;;;;;;;;;;;;;;;
scarlet (dumo);;;;1;;x;;;;x;1;;;;1;;;;;;;;;;;;;;
scarlet-kernelnext (dru);;;;1;;1;;x;;x;1;;1;;1;;1;;1;;;1;;;;1;;;
scarlet-kernelnext (druwl);;;;1;;1;;1;;1;1;;1;;1;;1;;1;;;;;;;1;;1;
scarlet-kernelnext (dumo);;;;1;;x;;1;;1;1;;;;;;1;;1;;;1;;;;1;;1;
snappy-kernelnext (snappy);;;;1;;;;1;;1;1;;;;;;1;;;;;1;;;;x;;1;
soraka;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
strongbad (coachz);;;;;;1;;;;;x;;1;;1;;1;;;;;x;;1;;1;;;
strongbad (homestar);;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
strongbad (mrbland);;;;1;;;;;;;;;x;;1;;;;;;;;;;;;;;
strongbad (quackingstick);;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;
strongbad (wormdingler);;;;1;;;;;;;1;;;;;;;;;;1;1;;;1;;;;
strongbad-kernelnext (coachz);;;;1;;;;;;;1;;;;;;1;;1;;;1;;1;;1;;;
strongbad-kernelnext (homestar);;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;
trogdor (lazor);;;;1;;;;;;;1;;;x;;;1;;1;;;;1;;;1;;;
trogdor (limozeen);;;;;;1;;;;;x;;;;;;;;;;;;;;x;;;;
trogdor (pazquel);;;;;;;;;;;x;;;;;;;;1;;;;;1;;;;1;
trogdor (pompom);;;;x;;x;;;;;x;;1;;;;x;1;x;;;;;1;;1;;1;
trogdor-kernelnext (lazor);;;;;;1;;;;;x;;;;1;;;;;;;;;;;;;1;
trogdor-kernelnext (limozeen);;;;1;;;;;;;1;;;;x;;;;1;;;;;;;x;;;
trogdor-kernelnext (pompom);;;;1;;;;;;;1;;;;;;;;1;;;;;1;;1;;;
volteer (chronicler);;;;;;;;;;;;1;;;;1;;;;;;;1;;;;x;;
volteer (collis);;;1;;1;;1;;;;;1;;1;;;;;;1;;;;;;;1;;
volteer (copano);;;1;;;;;;;;;1;;1;;;;;;1;1;;;;;;;;
volteer (delbin);;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
volteer (drobit);;;1;;;;;;;;;;;1;;1;;;;1;1;;;;1;;1;;
volteer (eldrid);;;;;;;;;;;;1;;1;;;;1;;1;1;;;;1;;;;
volteer (elemi);;;;;1;;;;;;;;;1;;1;;;;;1;;;;;;1;;
volteer (lillipup);;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;
volteer (lindar);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (voema);;;1;;;;;;;;;1;;;;;;;;;1;;;;;;1;;
volteer (volet);;;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;
volteer (volta);;;1;;;;;;;;;;;;;1;;1;;;1;;1;;;;1;;
volteer (volteer2);;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;
volteer (voxel);;;1;;;;;;;;;;;1;;1;;;;;;;1;;;;;;
volteer-kernelnext (volteer2);;;;1;;1;;;;;1;;;;1;;;;;;;1;;1;;1;;1;
zork (berknip);;;1;1;1;1;1;;;;;1;1;;1;;1;;;1;;;;;;1;;;
zork (dirinboz);;;;1;1;1;;;;;;;1;1;1;;;;1;;;1;;;;1;;;
zork (ezkinil);;;;1;1;1;;;;;1;1;1;;1;1;;;;;;1;1;;;1;;;
zork (gumboz);;;;;;;;;;;1;;1;1;1;1;1;1;x;;;1;;1;;1;;1;
zork (jelboz);;;;1;;1;;;;;1;;1;;1;;1;;;;;;;1;;1;;1;
zork (jelboz360);;;;;1;1;;;;;1;;;;1;;;;;;;1;;;;;;;
zork (morphius);;;1;1;;;;;;;1;;;;1;;1;;;;1;;;;;1;;1;
zork (vilboz);;;;1;x;;;;;;1;;;x;1;;1;;1;;;1;;;;1;;;
zork (vilboz14);;;1;1;1;;;;;;1;;;;;;1;;;;1;1;1;;1;;;1;
zork (vilboz360);;;;1;;;;;;;1;;1;1;;1;1;;1;;;;;;;;;;
zork (woomax);;;1;1;;1;;;;;1;;;;1;;;;;;;;;1;;;;1;
zork-arc-r (berknip);;;;1;;1;;;;;1;;;;;;1;;1;;;;;;;1;;;
zork-arc-r (vilboz);;;;;;1;;;;;1;;1;;;;1;;1;;;;;;;1;;1;
zork-kernelnext (ezkinil);;;;1;;;;;;;1;;;;1;;;;;;;1;;x;;;;;
