;;15032;15029;15028;15027;15026;15025;15024;15023;15022;15021;15020;15019;15018;15017;15016;15015;15014;15013;15012;15011;15010;15009;15007;15006;15005;15004;15003;15002
elm-kernelnext (elm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz (jax);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz (teemo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz-kernelnext (jax);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz-kernelnext (teemo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (aleena);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (barla);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (careena);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (kasumi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (kasumi360);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
grunt (liara);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (treeya);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (treeya360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-arc-r (kasumi);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (aleena);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (barla);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (careena);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (kasumi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (kasumi360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (liara);;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;
grunt-kernelnext (treeya);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (treeya360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
guybrush (dewatt);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
guybrush (nipperkin);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hana-kernelnext (hana);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (akemi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (dragonair);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (dratini);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (helios);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (jinlon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (kindred);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (kled);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (kohaku);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (nightfury);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-arc-r (kled);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-arc-r (kohaku);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-borealis (helios);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-kernelnext (kohaku);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-kernelnext (nightfury);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi (burnet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi (cozmo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi (fennel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi (pico6);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (burnet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (cerise);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (cozmo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (damu);;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
jacuzzi-kernelnext (esche);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (fennel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (fennel14);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (juniper);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (kappa);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (kenzo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (stern);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (willow);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kalista-kernelnext (karma);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
keeby (gooey);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kevin-kernelnext (kevin);;;;;;;;1;;1;;;1;;;;;;;;;;;;;;;;
kukui (kakadu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui (katsu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui (kodama);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui (krane);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-arc-r (krane);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (kakadu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (katsu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (kodama);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (krane);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lars-kernelnext (lars);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (akali);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (akali360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (bard);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (ekko);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (pantheon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (sona);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (syndra);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (vayne);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (akali);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (akali360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (bard);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (ekko);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (pantheon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (sona);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (syndra);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (vayne);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nautilus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nautilus (nautiluslte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nocturne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nocturne-kernelnext (nocturne);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (ampton);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (apel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (bloog);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (blooglet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (blooguard);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (blorb);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (bluebird);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (bobba);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (bobba360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (casta);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (dood);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (dorp);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (droid);;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
octopus (fleex);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (foob);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (foob360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (garfour);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (garg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (garg360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (grabbiter);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (laser14);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (lick);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (mimrock);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (nospike);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (orbatrix);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (phaser);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (phaser360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (sparky);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (sparky360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (vorticon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (vortininja);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-arc-r (blorb);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-arc-r (bluebird);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (ampton);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (apel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bloog);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (blooglet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (blooguard);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (blorb);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bluebird);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bobba);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bobba360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (casta);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (dood);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (dorp);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (droid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (fleex);;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (foob);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (foob360);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (garfour);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (garg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (garg360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (grabbiter);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (laser14);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (lick);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (meep);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (mimrock);;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;
octopus-kernelnext (nospike);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (orbatrix);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (phaser);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (phaser360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (sparky);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (sparky360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (vorticon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (vortininja);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (dooly);;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
puff (duffy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (faffy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (kaisa);;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
puff (noibat);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (wyvern);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rammus (shyvana);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rammus-arc-r (shyvana);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sarien (arcada);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
scarlet (dru);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
scarlet (dumo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
scarlet-kernelnext (dru);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
scarlet-kernelnext (druwl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
scarlet-kernelnext (dumo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
snappy-kernelnext (snappy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
soraka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (coachz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (mrbland);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (wormdingler);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad-kernelnext (coachz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (lazor);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (limozeen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (pazquel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (pompom);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor-kernelnext (lazor);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor-kernelnext (limozeen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor-kernelnext (pompom);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (chronicler);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (collis);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (copano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (delbin);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (drobit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (eldrid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (elemi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (lillipup);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (voema);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (volet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (volta);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (volteer2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (voxel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer-kernelnext (volteer2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (berknip);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (dirinboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (ezkinil);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (gumboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (jelboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (jelboz360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (morphius);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (vilboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (vilboz14);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (vilboz360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (woomax);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork-arc-r (berknip);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork-arc-r (vilboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork-kernelnext (ezkinil);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
