;;15032;15029;15028;15027;15026;15025;15024;15023;15022;15021;15020;15019;15018;15017;15016;15015;15014;15013;15012;15011;15010;15009;15007;15006;15005;15004;15003;15002;15001
coral-kernelnext (whitetip);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (beetley);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (blipper);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (bookem);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (boten);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (bugzzy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (cret);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (cret360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (drawcia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (drawman);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (drawper);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (galith);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (galith360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (gallop);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (galnat);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (galnat360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (galtic);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (galtic360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (kracko);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (kracko360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (landia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (landrid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (lantis);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (madoo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magister);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (maglet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (maglia);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (maglith);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magma);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magneto);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magolor);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (magpie);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (metaknight);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (pasara);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (pirette);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (pirika);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (sasuke);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (sasukette);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (storo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dedede (storo360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
drallion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
drallion (drallion360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
elm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
elm-kernelnext (elm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz (jax);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz (teemo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz-kernelnext (jax);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fizz-kernelnext (teemo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (aleena);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (barla);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (careena);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (kasumi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (kasumi360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (liara);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (treeya);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt (treeya360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-arc-r (kasumi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (aleena);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (barla);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (careena);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (kasumi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (kasumi360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (liara);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (treeya);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grunt-kernelnext (treeya360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
guybrush (dewatt);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
guybrush (nipperkin);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hana-kernelnext (hana);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (akemi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (dragonair);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (dratini);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (helios);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (jinlon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (kindred);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (kled);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (kohaku);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch (nightfury);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-arc-r (kled);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-arc-r (kohaku);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-borealis (helios);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-kernelnext (kohaku);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hatch-kernelnext (nightfury);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (burnet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (cerise);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (cozmo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (damu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (esche);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (fennel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (fennel14);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (juniper);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (kappa);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (kenzo);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (stern);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jacuzzi-kernelnext (willow);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kalista-kernelnext (karma);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
keeby (gooey);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kevin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kevin-kernelnext (kevin);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-arc-r (krane);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (kakadu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (katsu);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (kodama);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kukui-kernelnext (krane);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lars-kernelnext (lars);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (akali);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (akali360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (bard);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (ekko);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (pantheon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (sona);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (syndra);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami (vayne);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (akali);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (akali360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (bard);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (ekko);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (pantheon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (sona);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (syndra);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nami-kernelnext (vayne);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nautilus (nautiluslte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nocturne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nocturne-kernelnext (nocturne);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (ampton);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (apel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (bloog);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (blooglet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (blooguard);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (blorb);;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
octopus (bluebird);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (bobba);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (bobba360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (casta);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (dood);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (dorp);;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
octopus (droid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (fleex);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (foob);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (foob360);;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
octopus (garfour);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (garg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (garg360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (grabbiter);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (laser14);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (lick);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (meep);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (mimrock);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (nospike);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (orbatrix);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (phaser);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (phaser360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (sparky);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (sparky360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus (vorticon);;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
octopus (vortininja);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-arc-r (blorb);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-arc-r (bluebird);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (ampton);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (apel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bloog);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (blooglet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (blooguard);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (blorb);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bluebird);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bobba);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (bobba360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (casta);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (dood);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (dorp);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (droid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (fleex);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (foob);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (foob360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (garfour);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (garg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (garg360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (grabbiter);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (laser14);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (lick);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (meep);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (mimrock);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (nospike);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (orbatrix);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (phaser);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (phaser360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (sparky);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (sparky360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (vorticon);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
octopus-kernelnext (vortininja);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (dooly);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (duffy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (faffy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (kaisa);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (noibat);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
puff (wyvern);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rammus (shyvana);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rammus-arc-r (shyvana);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
scarlet (dru);;;;1;;1;;1;;;1;;;;;;;;;;;;;;;;;;;
scarlet (dumo);;;;1;;1;;;;1;1;;;;1;;;;;;;;;;;;;;;
scarlet-kernelnext (dru);;;;1;;1;;1;;1;1;;1;;1;;1;;1;;;1;;;;1;;;;
scarlet-kernelnext (druwl);;;;1;;1;;1;;1;1;;1;;1;;1;;1;;;;;;;1;;1;;
scarlet-kernelnext (dumo);;;;1;;1;;1;;1;1;;;;;;1;;1;;;1;;;;1;;1;;
snappy-kernelnext (snappy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
soraka;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
strongbad (coachz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (homestar);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (mrbland);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (quackingstick);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad (wormdingler);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad-kernelnext (coachz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strongbad-kernelnext (homestar);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (lazor);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (limozeen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (pazquel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor (pompom);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor-arc-r (pompom);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor-kernelnext (lazor);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor-kernelnext (limozeen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor-kernelnext (pompom);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trogdor64 (lazor);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (chronicler);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (collis);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (copano);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (delbin);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (drobit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (eldrid);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (elemi);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (lillipup);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (lindar);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (voema);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (volet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (volta);;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
volteer (volteer2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer (voxel);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
volteer-kernelnext (volteer2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (berknip);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (dirinboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (ezkinil);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (gumboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (jelboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (jelboz360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (morphius);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (vilboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (vilboz14);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (vilboz360);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork (woomax);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork-arc-r (berknip);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork-arc-r (vilboz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zork-kernelnext (ezkinil);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
